All Ordinaries Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
CWY,Cleanaway Waste Management Ltd,Industrials,"4,087,350,000",0.22,,,
DCG,Decmil Group Ltd,Industrials,"47,852,800",0,,,
DCN,Dacian Gold Ltd,Materials,"255,882,000",0.01,,,
DDR,Dicker Data Ltd,Information Technology,"1,366,030,000",0.07,,,
DHG,Domain Holdings Australia Ltd,Communication Services,"1,764,480,000",0.09,,,
DMP,Domino's PIZZA Enterprises Ltd,Consumer Discretionary,"5,357,120,000",0.29,,,
DNK,Danakali Ltd,Materials,"125,903,000",0.01,,,
DOW,Downer Edi Ltd,Industrials,"2,670,210,000",0.14,,,
DTL,Data#3 Ltd,Information Technology,"865,339,000",0.05,,,
DWS,DWS Ltd,Information Technology,"102,169,000",0.01,,,
DXS,Dexus,Real Estate,"10,017,200,000",0.54,,,
ECX,Eclipx Group Ltd,Financials,"383,564,000",0.02,,,
ED1,Evans Dixon Ltd,Financials,"130,222,000",0.01,,,
EGN,Engenco Ltd,Industrials,"141,021,000",0.01,,,
EHE,Estia Health Ltd,Health Care,"390,602,000",0.02,,,
EHL,Emeco Holdings Ltd,Industrials,"399,878,000",0.02,,,
ELD,Elders Ltd,Consumer Staples,"1,534,940,000",0.08,,,
ELO,Elmo Software Ltd,Information Technology,"567,623,000",0.03,,,
EML,EML Payments Ltd,Information Technology,"1,338,090,000",0.07,,,
ENN,Elanor Investors Group,Consumer Discretionary,"146,271,000",0.01,,,
EOS,Electro Optic Systems Holdings Ltd,Industrials,"819,448,000",0.04,,,
EQT,EQT Holdings Ltd,Financials,"524,172,000",0.03,,,
ERA,Energy Resources of Australia Ltd,Energy,"627,535,000",0.03,,,
ERF,Elanor Retail Property Fund,Real Estate,"93,972,700",0.01,,,
EVN,Evolution Mining Ltd,Materials,"10,737,800,000",0.58,,,
EVT,Event Hospitality and Entertainment Ltd,Communication Services,"1,486,220,000",0.08,,,
EWC,Energy World Corporation Ltd,Utilities,"116,716,000",0.01,,,
EXP,Experience Co Ltd,Consumer Discretionary,"80,592,700",0,,,
EZL,EUROZ Ltd,Financials,"151,955,000",0.01,,,
FAR,FAR Ltd,Energy,"149,682,000",0.01,,,
FBR,FBR Ltd,Industrials,"41,353,300",0,,,
FBU,Fletcher Building Ltd,Materials,"2,926,110,000",0.16,,,
FID,Fiducian Group Ltd,Financials,"165,388,000",0.01,,,
FLC,Fluence Corporation Ltd,Industrials,"168,711,000",0.01,,,
FLN,Freelancer Ltd,Industrials,"234,663,000",0.01,,,
FLT,Flight Centre Travel Group Ltd,Consumer Discretionary,"2,715,050,000",0.15,,,
FMG,Fortescue Metals Group Ltd,Materials,"45,537,900,000",2.45,,,
FMS,Flinders Mines Ltd,Materials,"80,494,300",0,,,
FNP,Freedom Foods Group Ltd,Consumer Staples,"966,733,000",0.05,,,
FPH,Fisher & Paykel Healthcare Corporation Ltd,Health Care,"15,882,800,000",0.85,,,
FRI,Finbar Group Ltd,Real Estate,"182,323,000",0.01,,,
FSA,FSA Group Ltd,Financials,"116,062,000",0.01,,,
FWD,Fleetwood Corporation Ltd,Consumer Discretionary,"160,839,000",0.01,,,
FXL,Flexigroup Ltd,Financials,"453,550,000",0.02,,,
GDF,Garda Property Group,Real Estate,"224,230,000",0.01,,,
GDI,GDI Property Group,Real Estate,"599,121,000",0.03,,,
GEM,G8 Education Ltd,Consumer Discretionary,"861,797,000",0.05,,,
GLL,Galilee Energy Ltd,Energy,"124,867,000",0.01,,,
GMA,Genworth Mortgage Insurance Australia Ltd,Financials,"882,780,000",0.05,,,
GMG,Goodman Group,Real Estate,"28,139,300,000",1.51,,,
GNC,Graincorp Ltd,Consumer Staples,"1,009,250,000",0.05,,,
GNE,Genesis Energy Ltd,Utilities,"2,863,190,000",0.15,,,
GNG,GR Engineering Services Ltd,Materials,"106,768,000",0.01,,,
GOR,Gold Road Resources Ltd,Materials,"1,636,270,000",0.09,,,
GOW,Gowing Bros Ltd,Financials,"75,859,400",0,,,
GOZ,Growthpoint Properties Australia,Real Estate,"2,477,410,000",0.13,,,
